student_id,teacher_id,day,hifz,murajaah
5,-1,1,1.0,9.0
5,-1,2,,0.0
5,-1,3,2.0,10.0
5,-1,4,1.0,10.0
5,-1,5,,8.0
5,-1,6,1.0,3.0
5,-1,7,1.0,6.0
5,-1,8,1.0,7.0
5,-1,9,,0.0
5,-1,10,1.0,3.0
5,-1,11,,3.0
5,-1,12,,6.0
5,-1,13,,9.0
5,-1,14,,11.0
5,-1,15,,10.0
5,-1,16,,0.0
5,-1,17,0.5,7.0
5,-1,18,1.0,10.0
5,-1,19,1.0,4.0
5,-1,20,,0.0
5,-1,21,,8.0
5,-1,22,1.0,10.0
5,-1,23,2.0,10.0
5,-1,24,,9.0
5,-1,25,1.0,
5,-1,26,,0.0
5,-1,27,,0.0
5,-1,28,,0.0
5,-1,29,,5.0
5,-1,30,0.0,
25,-1,1,0.5,7.0
25,-1,2,,0.0
25,-1,3,,10.0
25,-1,4,,8.0
25,-1,5,,8.0
25,-1,6,,4.0
25,-1,7,,0.0
25,-1,8,0.5,
25,-1,9,,0.0
25,-1,10,,5.0
25,-1,11,,4.0
25,-1,12,,0.0
25,-1,13,0.5,4.0
25,-1,19,,3.0
25,-1,20,,0.0
25,-1,21,,3.0
25,-1,23,0.5,3.0
25,-1,24,0.5,3.0
25,-1,25,,3.0
25,-1,26,,0.0
25,-1,28,,4.0
25,-1,29,0.5,
25,-1,30,0.0,
9,-1,9,,0.0
9,-1,10,,10.0
9,-1,11,,10.0
9,-1,12,,0.0
9,-1,14,,10.0
9,-1,15,,10.0
9,-1,16,,0.0
9,-1,17,,4.0
9,-1,18,,6.0
9,-1,19,,8.0
9,-1,20,,0.0
9,-1,21,,8.0
9,-1,22,,8.0
9,-1,23,,7.0
9,-1,24,,9.0
9,-1,25,,7.0
9,-1,26,,0.0
9,-1,27,,0.0
9,-1,28,,6.0
9,-1,30,0.0,
46,-1,1,,4.0
46,-1,2,,0.0
46,-1,4,,4.0
46,-1,7,,0.0
46,-1,8,,10.0
46,-1,9,,0.0
46,-1,11,,8.0
46,-1,12,,0.0
46,-1,16,,0.0
46,-1,18,,10.0
46,-1,22,,7.0
46,-1,23,,3.0
46,-1,24,,3.0
46,-1,25,,7.0
46,-1,26,,0.0
46,-1,27,,0.0
47,-1,1,,0.0
47,-1,2,,0.0
47,-1,7,,8.0
47,-1,8,,5.0
47,-1,9,,0.0
47,-1,10,1.0,
47,-1,14,,8.0
47,-1,15,,7.0
47,-1,16,,0.0
47,-1,19,,4.0
47,-1,21,1.0,5.0
47,-1,25,,8.0
47,-1,26,,0.0
