student_id,teacher_id,day,hifz,murajaah
5,-1,1,2.0,10.0
5,-1,2,1.0,10.0
5,-1,3,1.0,
5,-1,4,1.0,6.0
5,-1,5,,5.0
5,-1,6,1.0,7.0
5,-1,7,,7.0
5,-1,8,2.0,7.0
5,-1,9,,0.0
5,-1,10,,0.0
5,-1,11,,14.0
5,-1,12,,14.0
5,-1,13,,0.0
5,-1,14,,8.0
5,-1,15,1.0,2.0
5,-1,16,1.0,10.0
5,-1,17,,0.0
25,-1,1,,4.0
25,-1,4,,5.0
25,-1,5,,5.0
25,-1,6,0.5,4.0
25,-1,7,,7.0
25,-1,8,,3.0
25,-1,9,,0.0
25,-1,10,,0.0
25,-1,11,,3.0
25,-1,18,1.0,
25,-1,19,,6.0
25,-1,20,1.0,10.0
25,-1,21,,9.0
25,-1,22,,0.0
25,-1,23,,0.0
25,-1,24,,2.0
25,-1,25,,5.0
25,-1,26,2.0,10.0
25,-1,27,1.0,
25,-1,28,2.0,10.0
25,-1,29,,5.0
25,-1,30,1.0,10.0
9,-1,3,,0.0
9,-1,4,,7.0
9,-1,5,,4.0
9,-1,6,,4.0
9,-1,7,,0.0
9,-1,8,,6.0
9,-1,9,,0.0
9,-1,10,,0.0
9,-1,16,,0.0
9,-1,17,,0.0
9,-1,18,,0.0
9,-1,19,,0.0
9,-1,20,,2.0
9,-1,21,,6.0
9,-1,22,,0.0
9,-1,23,,0.0
9,-1,24,,3.0
9,-1,25,1.0,2.0
9,-1,26,,4.0
9,-1,27,,4.0
9,-1,28,1.0,
9,-1,29,,2.0
9,-1,30,,2.0
46,-1,5,,5.0
46,-1,13,,5.0
46,-1,14,,0.0
46,-1,15,1.0,10.0
46,-1,17,,0.0
46,-1,21,,8.0
46,-1,22,,0.0
46,-1,23,,0.0
46,-1,24,,3.0
46,-1,28,,2.0
47,-1,2,,6.0
47,-1,4,,7.0
47,-1,5,,8.0
47,-1,6,,6.0
47,-1,7,,4.0
47,-1,9,,0.0
47,-1,11,,7.0
47,-1,12,,10.0
47,-1,13,,0.0
47,-1,14,,8.0
47,-1,17,,0.0
47,-1,19,,0.0
47,-1,21,,8.0
47,-1,23,,0.0
47,-1,24,1.0,8.0
47,-1,26,,7.0
47,-1,27,,8.0
47,-1,28,,8.0
47,-1,30,,5.0
4,-1,1,1.0,10.0
4,-1,3,1.0,7.0
4,-1,19,1.0,
4,-1,21,,2.0
4,-1,22,,0.0
4,-1,23,,2.0
4,-1,24,1.0,
4,-1,26,1.0,8.0
4,-1,27,0.5,
4,-1,28,,5.0
4,-1,29,0.5,
13,-1,21,,8.0
13,-1,25,,5.0
13,-1,26,,0.0
13,-1,27,,0.0
13,-1,28,,8.0
13,-1,29,,0.0
13,-1,30,,5.0
52,-1,1,,4.0
52,-1,7,,4.0
52,-1,8,,4.0
52,-1,11,,3.0
52,-1,13,,0.0
52,-1,14,,5.0
52,-1,15,,0.0
52,-1,16,,10.0
52,-1,17,,0.0
52,-1,18,,0.0
52,-1,19,,0.0
52,-1,20,,4.0
52,-1,22,,0.0
52,-1,23,,0.0
52,-1,27,,0.0
52,-1,28,,4.0
52,-1,29,,2.0
52,-1,30,,0.0
51,-1,2,0.5,
51,-1,3,0.5,
51,-1,4,0.5,
51,-1,5,,7.0
51,-1,6,,8.0
51,-1,7,0.5,
51,-1,8,,2.0
51,-1,9,,0.0
51,-1,10,,0.0
51,-1,11,,4.0
51,-1,12,0.5,10.0
51,-1,13,,0.0
51,-1,14,0.5,5.0
51,-1,15,0.5,6.0
51,-1,16,0.5,4.0
51,-1,17,,0.0
51,-1,18,0.5,5.0
51,-1,19,,0.0
51,-1,20,0.5,
51,-1,21,0.5,
51,-1,22,,0.0
51,-1,23,,4.0
51,-1,24,,4.0
51,-1,25,,1.0
51,-1,26,0.5,
51,-1,27,1.0,10.0
51,-1,28,1.0,
51,-1,29,,7.0
51,-1,30,,10.0
35,-2,22,,0.0
53,-2,23,,10.0
53,-2,24,,8.0
53,-2,25,,7.0
53,-2,27,,3.0
53,-2,28,,4.0
53,-2,29,,2.0
53,-2,30,,0.0
27,-2,1,,5.0
27,-2,2,,0.0
27,-2,3,,6.0
27,-2,4,,0.0
27,-2,5,,0.0
27,-2,6,,15.0
27,-2,7,1.0,
27,-2,8,,10.0
27,-2,9,,10.0
27,-2,10,,0.0
27,-2,11,,0.0
27,-2,12,,2.0
27,-2,13,,0.0
27,-2,14,,13.0
27,-2,15,,5.0
27,-2,16,1.0,
27,-2,17,,0.0
27,-2,18,1.0,
27,-2,19,,10.0
27,-2,20,0.5,8.0
27,-2,21,0.5,
27,-2,22,,0.0
27,-2,23,,8.0
27,-2,24,,7.0
27,-2,25,0.5,5.0
27,-2,26,0.5,
27,-2,27,,10.0
27,-2,28,,10.0
27,-2,29,0.5,
27,-2,30,,0.0
