student_id,teacher_id,day,hifz,murajaah
5,-1,1,1.0,
5,-1,2,2.0,
5,-1,3,,5.0
5,-1,4,1.0,
5,-1,5,,10.0
5,-1,6,1.0,11.0
5,-1,7,,18.0
5,-1,8,,10.0
5,-1,9,,0.0
5,-1,10,1.0,8.0
5,-1,11,,0.0
5,-1,12,2.0,
5,-1,13,1.0,
5,-1,14,1.0,
5,-1,16,,5.0
5,-1,17,,0.0
5,-1,18,,0.0
5,-1,19,,15.0
5,-1,20,,0.0
5,-1,21,,10.0
5,-1,22,1.0,8.0
5,-1,23,,10.0
5,-1,24,1.0,10.0
5,-1,25,2.0,
5,-1,26,1.0,5.0
5,-1,27,,0.0
5,-1,28,,10.0
5,-1,29,1.0,5.0
5,-1,30,2.0,
25,-1,1,0.5,2.0
25,-1,2,0.5,
25,-1,3,0.5,
25,-1,4,,0.0
25,-1,5,0.5,5.0
25,-1,6,0.5,7.0
25,-1,7,,5.0
25,-1,8,,5.0
25,-1,9,,0.0
25,-1,10,,10.0
25,-1,11,,0.0
25,-1,12,,2.0
25,-1,18,,0.0
25,-1,19,,15.0
25,-1,20,,0.0
25,-1,21,,1.0
25,-1,22,,6.0
25,-1,25,1.0,
25,-1,26,0.5,
25,-1,27,,0.0
25,-1,28,1.0,
25,-1,29,0.5,
25,-1,30,0.5,
9,-1,1,,0.0
9,-1,2,1.0,
9,-1,3,1.0,
9,-1,4,0.0,
9,-1,5,,0.0
9,-1,7,,16.0
9,-1,9,,0.0
9,-1,10,,10.0
9,-1,11,,0.0
9,-1,13,1.0,
9,-1,14,1.0,
9,-1,15,1.0,
9,-1,16,,1.0
9,-1,17,,0.0
9,-1,19,,9.0
9,-1,21,,6.0
9,-1,22,,7.0
9,-1,23,,7.0
9,-1,25,,0.0
9,-1,26,,0.0
9,-1,27,,0.0
9,-1,28,,4.0
9,-1,29,,3.0
9,-1,30,,0.0
46,-1,1,,0.0
46,-1,2,,4.0
46,-1,3,,5.0
46,-1,4,,0.0
46,-1,5,,3.0
46,-1,6,,2.0
46,-1,7,,5.0
46,-1,8,,8.0
46,-1,9,,0.0
46,-1,10,,11.0
46,-1,11,,0.0
46,-1,13,,5.0
46,-1,14,,0.0
46,-1,15,0.5,
46,-1,16,0.5,
46,-1,17,,0.0
46,-1,18,,0.0
46,-1,19,,10.0
46,-1,20,,0.0
46,-1,21,,5.0
46,-1,22,,3.0
46,-1,23,,4.0
46,-1,24,,10.0
46,-1,25,1.0,
46,-1,26,2.0,
46,-1,27,,0.0
46,-1,28,,2.0
46,-1,30,,5.0
47,-1,1,1.0,
47,-1,2,1.0,
47,-1,4,,0.0
47,-1,5,,10.0
47,-1,6,1.0,9.0
47,-1,7,,0.0
47,-1,8,1.0,8.0
47,-1,9,,0.0
47,-1,13,2.0,
47,-1,14,,8.0
47,-1,15,,4.0
47,-1,16,1.0,
47,-1,18,,0.0
47,-1,19,,5.0
47,-1,20,,0.0
47,-1,21,,4.0
47,-1,22,1.0,7.0
47,-1,23,,10.0
47,-1,25,1.0,
47,-1,26,1.0,
47,-1,27,,0.0
47,-1,28,1.0,
47,-1,30,1.0,
4,-1,1,,0.0
4,-1,2,1.0,
4,-1,4,,0.0
4,-1,5,,16.0
4,-1,6,,26.0
4,-1,8,,5.0
4,-1,9,,0.0
4,-1,13,0.5,
4,-1,15,0.5,
4,-1,16,,0.0
4,-1,18,,0.0
4,-1,19,,11.0
4,-1,21,,5.0
4,-1,22,,12.0
4,-1,23,,14.0
4,-1,25,,0.0
4,-1,26,,3.0
4,-1,28,1.0,
4,-1,29,0.5,
4,-1,30,1.0,
13,-1,8,,0.0
13,-1,10,,8.0
13,-1,16,,0.0
13,-1,17,,0.0
13,-1,20,,0.0
13,-1,21,,0.0
13,-1,30,0.0,
8,-1,6,,1.0
8,-1,7,,1.0
8,-1,8,,1.0
8,-1,9,,0.0
8,-1,10,,1.0
8,-1,11,,1.0
8,-1,13,,1.0
8,-1,14,,1.0
8,-1,24,,0.0
8,-1,25,,0.0
8,-1,26,,1.0
8,-1,27,,1.0
8,-1,28,,0.0
14,-1,1,,0.0
14,-1,3,,10.0
14,-1,5,,5.0
14,-1,6,,0.0
14,-1,7,,6.0
14,-1,9,,0.0
14,-1,15,1.0,
14,-1,16,1.0,
14,-1,17,,0.0
14,-1,18,,0.0
14,-1,20,,0.0
14,-1,22,,11.0
14,-1,23,,11.0
14,-1,24,,0.0
14,-1,26,,8.0
14,-1,28,1.0,
14,-1,29,1.0,
14,-1,30,1.0,
52,-1,1,,0.0
52,-1,2,1.0,
52,-1,3,1.0,
52,-1,4,,0.0
